set,card_name,image_url
Arabian Nights,Ifh-Bíff Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=947&type=card
Arabian Nights,Metamorphosis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=948&type=card
Arabian Nights,Nafs Asp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=950&type=card
Arabian Nights,Nafs Asp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=949&type=card
Arabian Nights,Sandstorm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=951&type=card
Arabian Nights,Singing Tree,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=952&type=card
Arabian Nights,Wyluli Wolf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=954&type=card
Arabian Nights,Wyluli Wolf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=953&type=card
Arabian Nights,Aladdin's Lamp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=900&type=card
Arabian Nights,Aladdin's Ring,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=901&type=card
Arabian Nights,Bottle of Suleiman,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=902&type=card
Arabian Nights,Brass Man,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=903&type=card
Arabian Nights,City in a Bottle,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=904&type=card
Arabian Nights,Dancing Scimitar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=905&type=card
Arabian Nights,Ebony Horse,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=906&type=card
Arabian Nights,Flying Carpet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=907&type=card
Arabian Nights,Jandor's Ring,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=908&type=card
Arabian Nights,Jandor's Saddlebags,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=909&type=card
Arabian Nights,Jeweled Bird,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=910&type=card
Arabian Nights,Pyramids,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=911&type=card
Arabian Nights,Ring of Ma'rûf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=912&type=card
Arabian Nights,Sandals of Abdallah,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=913&type=card
Arabian Nights,Bazaar of Baghdad,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=984&type=card
Arabian Nights,City of Brass,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=985&type=card
Arabian Nights,Desert,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=986&type=card
Arabian Nights,Diamond Valley,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=987&type=card
Arabian Nights,Elephant Graveyard,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=988&type=card
Arabian Nights,Island of Wak-Wak,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=989&type=card
Arabian Nights,Library of Alexandria,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=990&type=card
Arabian Nights,Mountain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=983&type=card
Arabian Nights,Oasis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=991&type=card
Arabian Nights,Moorish Cavalry,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=976&type=card
Arabian Nights,Piety,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=977&type=card
Antiquities,Argivian Archaeologist,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1064&type=card
Antiquities,Argivian Blacksmith,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1065&type=card
Antiquities,Artifact Ward,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1066&type=card
Antiquities,Circle of Protection: Artifacts,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1067&type=card
Antiquities,Damping Field,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1068&type=card
Antiquities,Martyrs of Korlis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1069&type=card
Antiquities,Reverse Polarity,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1070&type=card
Antiquities,Drafna's Restoration,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1037&type=card
Antiquities,Energy Flux,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1038&type=card
Antiquities,Hurkyl's Recall,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1041&type=card
Antiquities,Power Artifact,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1043&type=card
Antiquities,Reconstruction,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1045&type=card
Antiquities,Sage of Lat-Nam,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1046&type=card
Antiquities,Transmute Artifact,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1047&type=card
Antiquities,Artifact Possession,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1036&type=card
Antiquities,Gate to Phyrexia,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1039&type=card
Antiquities,Haunting Wind,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1040&type=card
Antiquities,Phyrexian Gremlins,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1042&type=card
Antiquities,Priest of Yawgmoth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1044&type=card
Antiquities,Xenic Poltergeist,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1048&type=card
Antiquities,Yawgmoth Demon,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1049&type=card
Antiquities,Artifact Blast,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1057&type=card
Antiquities,Atog,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1058&type=card
Antiquities,Detonate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1059&type=card
Antiquities,Dwarven Weaponsmith,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1060&type=card
Antiquities,Goblin Artisans,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1061&type=card
Antiquities,Orcish Mechanics,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1062&type=card
Antiquities,Shatterstorm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1063&type=card
Antiquities,Argothian Pixies,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1050&type=card
Antiquities,Argothian Treefolk,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1051&type=card
Antiquities,Citanul Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1052&type=card
Antiquities,Crumble,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1053&type=card
Antiquities,Gaea's Avenger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1054&type=card
Antiquities,Powerleech,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1055&type=card
Antiquities,Titania's Song,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1056&type=card
Antiquities,Amulet of Kroog,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=992&type=card
Antiquities,Armageddon Clock,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=993&type=card
Antiquities,Ashnod's Altar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=994&type=card
Antiquities,Ashnod's Battle Gear,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=995&type=card
Antiquities,Ashnod's Transmogrant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=996&type=card
Antiquities,Battering Ram,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=997&type=card
Antiquities,Bronze Tablet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=998&type=card
Antiquities,Candelabra of Tawnos,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=999&type=card
Antiquities,Clay Statue,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1000&type=card
Antiquities,Clockwork Avian,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1001&type=card
Antiquities,Colossus of Sardia,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1002&type=card
Antiquities,Coral Helm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1003&type=card
Antiquities,Cursed Rack,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1004&type=card
Antiquities,Dragon Engine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1005&type=card
Antiquities,Feldon's Cane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1006&type=card
Antiquities,Golgothian Sylex,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1007&type=card
Antiquities,Grapeshot Catapult,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1008&type=card
Antiquities,Ivory Tower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1009&type=card
Antiquities,Jalum Tome,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1010&type=card
Antiquities,Mightstone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1011&type=card
Antiquities,Millstone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1012&type=card
Antiquities,Mishra's War Machine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1013&type=card
Antiquities,Obelisk of Undoing,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1014&type=card
Antiquities,Onulet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1015&type=card
Antiquities,Ornithopter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1016&type=card
Antiquities,Primal Clay,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1017&type=card
Antiquities,Rakalite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1018&type=card
Antiquities,Rocket Launcher,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1019&type=card
Antiquities,Shapeshifter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1020&type=card
Antiquities,Staff of Zegon,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1021&type=card
Antiquities,Su-Chi,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1022&type=card
Antiquities,Tablet of Epityr,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1023&type=card
Antiquities,Tawnos's Coffin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1024&type=card
Antiquities,Tawnos's Wand,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1025&type=card
Antiquities,Tawnos's Weaponry,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1026&type=card
Antiquities,Tetravus,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1027&type=card
Antiquities,The Rack,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1028&type=card
Antiquities,Triskelion,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1029&type=card
Antiquities,Urza's Avenger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1030&type=card
Antiquities,Urza's Chalice,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1031&type=card
Antiquities,Urza's Miter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1032&type=card
Antiquities,Wall of Spears,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1033&type=card
Antiquities,Weakstone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1034&type=card
Antiquities,Yotian Soldier,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1035&type=card
Antiquities,Mishra's Factory,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1072&type=card
Antiquities,Mishra's Factory,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1073&type=card
Antiquities,Mishra's Factory,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1071&type=card
Antiquities,Mishra's Factory,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1074&type=card
Antiquities,Mishra's Workshop,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1075&type=card
Antiquities,Strip Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1076&type=card
Antiquities,Strip Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1078&type=card
Antiquities,Strip Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1079&type=card
Antiquities,Strip Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1077&type=card
Antiquities,Urza's Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1081&type=card
Antiquities,Urza's Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1083&type=card
Antiquities,Urza's Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1082&type=card
Antiquities,Urza's Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1080&type=card
Antiquities,Urza's Power Plant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1087&type=card
Antiquities,Urza's Power Plant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1084&type=card
Antiquities,Urza's Power Plant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1086&type=card
Antiquities,Urza's Power Plant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1085&type=card
Antiquities,Urza's Tower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1090&type=card
Antiquities,Urza's Tower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1088&type=card
Antiquities,Urza's Tower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1089&type=card
Antiquities,Urza's Tower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1091&type=card
Legends,Akron Legionnaire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1599&type=card
Legends,Alabaster Potion,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1600&type=card
Legends,Amrou Kithkin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1601&type=card
Legends,Angelic Voices,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1602&type=card
Legends,Cleanse,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1603&type=card
Legends,Clergy of the Holy Nimbus,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1604&type=card
Legends,D'Avenant Archer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1605&type=card
Legends,Divine Intervention,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1606&type=card
Legends,Divine Offering,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1607&type=card
Legends,Divine Transformation,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1608&type=card
Legends,Elder Land Wurm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1609&type=card
Legends,Enchanted Being,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1610&type=card
Legends,Equinox,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1611&type=card
Legends,Fortified Area,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1612&type=card
Legends,Glyph of Life,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1613&type=card
Legends,Great Defender,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1614&type=card
Legends,Great Wall,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1615&type=card
Legends,Greater Realm of Preservation,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1616&type=card
Legends,Heaven's Gate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1617&type=card
Legends,Holy Day,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1618&type=card
Legends,Indestructible Aura,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1619&type=card
Legends,Infinite Authority,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1620&type=card
Legends,Ivory Guardians,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1621&type=card
Legends,Keepers of the Faith,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1622&type=card
Legends,Kismet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1623&type=card
Legends,Land Tax,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1624&type=card
Legends,Lifeblood,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1625&type=card
Legends,Moat,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1626&type=card
Legends,Osai Vultures,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1627&type=card
Legends,Petra Sphinx,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1628&type=card
Legends,Presence of the Master,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1629&type=card
Legends,Rapid Fire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1630&type=card
Legends,Remove Enchantments,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1631&type=card
Legends,Righteous Avengers,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1632&type=card
Legends,Seeker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1633&type=card
Legends,Shield Wall,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1634&type=card
Legends,Spirit Link,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1635&type=card
Legends,Spiritual Sanctuary,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1636&type=card
Legends,Thunder Spirit,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1637&type=card
Legends,Tundra Wolves,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1638&type=card
Legends,Visions,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1639&type=card
Legends,Wall of Caltrops,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1640&type=card
Legends,Wall of Light,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1641&type=card
Legends,Acid Rain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1470&type=card
Legends,Anti-Magic Aura,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1471&type=card
Legends,Azure Drake,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1472&type=card
Legends,Backfire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1473&type=card
Legends,Boomerang,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1474&type=card
Legends,Brine Hag,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1475&type=card
Legends,Devouring Deep,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1476&type=card
Legends,Dream Coat,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1477&type=card
Legends,Elder Spawn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1478&type=card
Legends,Enchantment Alteration,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1479&type=card
Legends,Energy Tap,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1480&type=card
Legends,Field of Dreams,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1481&type=card
Legends,Flash Counter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1482&type=card
Legends,Flash Flood,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1483&type=card
Legends,Force Spike,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1484&type=card
Legends,Gaseous Form,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1485&type=card
Legends,Glyph of Delusion,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1486&type=card
Legends,In the Eye of Chaos,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1487&type=card
Legends,Invoke Prejudice,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485302&type=card
Legends,Juxtapose,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1489&type=card
Legends,Land Equilibrium,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1490&type=card
Legends,Mana Drain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1491&type=card
Legends,Part Water,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1492&type=card
Legends,Psionic Entity,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1493&type=card
Legends,Psychic Purge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1494&type=card
Legends,Puppet Master,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1495&type=card
Legends,Recall,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1496&type=card
Legends,Relic Bind,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1497&type=card
Legends,Remove Soul,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1498&type=card
Legends,Reset,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1499&type=card
Legends,Reverberation,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1500&type=card
Legends,Sea Kings' Blessing,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1501&type=card
Legends,Segovian Leviathan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1502&type=card
