set,card_name
Zendikar Rising,"Agadeem's Awakening // Agadeem, the Undercrypt"
Zendikar Rising,Hagra Mauling // Hagra Broodpit
Zendikar Rising,"Shatterskull Smashing // Shatterskull, the Hammer Pass"
Zendikar Rising,Valakut Awakening // Valakut Stoneforge
Zendikar Rising,"Turntimber Symbiosis // Turntimber, Serpentine Wood"
Zendikar Rising,"Orah, Skyclave Hierophant"
Zendikar Rising,"Charix, the Raging Isle"
Zendikar Rising,Into the Roil
Zendikar Rising,Bloodchief's Thirst
Zendikar Rising,Roil Eruption
Zendikar Rising,Roiling Regrowth
Zendikar Rising,Kargan Warleader
Ikoria Lair of Behemoths,"Lukka, Coppercoat Outcast"
Ikoria Lair of Behemoths,"Vivien, Monsters' Advocate"
Ikoria Lair of Behemoths,Narset of the Ancient Way
Ikoria Lair of Behemoths,Cubwarden
Ikoria Lair of Behemoths,Huntmaster Liger
Ikoria Lair of Behemoths,Majestic Auricorn
Ikoria Lair of Behemoths,Vulpikeet
Ikoria Lair of Behemoths,Archipelagore
Ikoria Lair of Behemoths,Dreamtail Heron
Ikoria Lair of Behemoths,Pouncing Shoreshark
Ikoria Lair of Behemoths,Sea-Dasher Octopus
Ikoria Lair of Behemoths,Cavern Whisperer
Ikoria Lair of Behemoths,Chittering Harvester
Ikoria Lair of Behemoths,Dirge Bat
Ikoria Lair of Behemoths,Insatiable Hemophage
Ikoria Lair of Behemoths,Cloudpiercer
Ikoria Lair of Behemoths,Everquill Phoenix
Ikoria Lair of Behemoths,Porcuparrot
Ikoria Lair of Behemoths,Auspicious Starrix
Ikoria Lair of Behemoths,Gemrazer
Ikoria Lair of Behemoths,Glowstone Recluse
Ikoria Lair of Behemoths,Migratory Greathorn
Ikoria Lair of Behemoths,Boneyard Lurker
Ikoria Lair of Behemoths,"Brokkos, Apex of Forever"
Ikoria Lair of Behemoths,"Illuna, Apex of Wishes"
Ikoria Lair of Behemoths,Lore Drakkis
Ikoria Lair of Behemoths,Necropanther
Ikoria Lair of Behemoths,"Nethroi, Apex of Death"
Ikoria Lair of Behemoths,Parcelbeast
Ikoria Lair of Behemoths,Regal Leosaur
Ikoria Lair of Behemoths,"Snapdax, Apex of the Hunt"
Ikoria Lair of Behemoths,Trumpeting Gnarr
Ikoria Lair of Behemoths,"Vadrok, Apex of Thunder"
Ikoria Lair of Behemoths,Indatha Triome
Ikoria Lair of Behemoths,Ketria Triome
Ikoria Lair of Behemoths,Raugrin Triome
Ikoria Lair of Behemoths,Savai Triome
Ikoria Lair of Behemoths,Zagoth Triome
Ikoria Lair of Behemoths,Drannith Magistrate
Ikoria Lair of Behemoths,Lavabrink Venturer
Ikoria Lair of Behemoths,Luminous Broodmoth
Ikoria Lair of Behemoths,Mythos of Snapdax
Ikoria Lair of Behemoths,Mythos of Illuna
Ikoria Lair of Behemoths,Shark Typhoon
Ikoria Lair of Behemoths,Voracious Greatshark
Ikoria Lair of Behemoths,Extinction Event
Ikoria Lair of Behemoths,Hunted Nightmare
Ikoria Lair of Behemoths,Mythos of Nethroi
Ikoria Lair of Behemoths,Mythos of Vadrok
Ikoria Lair of Behemoths,Unpredictable Cyclone
Ikoria Lair of Behemoths,"Yidaro, Wandering Monster"
Ikoria Lair of Behemoths,Colossification
Ikoria Lair of Behemoths,"Kogla, the Titan Ape"
Ikoria Lair of Behemoths,Mythos of Brokkos
Ikoria Lair of Behemoths,"Chevill, Bane of Monsters"
Ikoria Lair of Behemoths,Death's Oasis
Ikoria Lair of Behemoths,Eerie Ultimatum
Ikoria Lair of Behemoths,Emergent Ultimatum
Ikoria Lair of Behemoths,Frondland Felidar
Ikoria Lair of Behemoths,General Kudro of Drannith
Ikoria Lair of Behemoths,Genesis Ultimatum
Ikoria Lair of Behemoths,Inspired Ultimatum
Ikoria Lair of Behemoths,"Kinnan, Bonder Prodigy"
Ikoria Lair of Behemoths,Labyrinth Raptor
Ikoria Lair of Behemoths,Offspring's Revenge
Ikoria Lair of Behemoths,Quartzwood Crasher
Ikoria Lair of Behemoths,"Rielle, the Everwise"
Ikoria Lair of Behemoths,Ruinous Ultimatum
Ikoria Lair of Behemoths,Skycat Sovereign
Ikoria Lair of Behemoths,Slitherwisp
Ikoria Lair of Behemoths,Song of Creation
Ikoria Lair of Behemoths,Titans' Nest
Ikoria Lair of Behemoths,Whirlwind of Thought
Ikoria Lair of Behemoths,"Winota, Joiner of Forces"
Ikoria Lair of Behemoths,Fiend Artisan
Ikoria Lair of Behemoths,"Gyruda, Doom of Depths"
Ikoria Lair of Behemoths,"Jegantha, the Wellspring"
Ikoria Lair of Behemoths,"Kaheera, the Orphanguard"
Ikoria Lair of Behemoths,"Keruga, the Macrosage"
Ikoria Lair of Behemoths,Lurrus of the Dream-Den
Ikoria Lair of Behemoths,"Lutri, the Spellchaser"
Ikoria Lair of Behemoths,"Obosh, the Preypiercer"
Ikoria Lair of Behemoths,"Umori, the Collector"
Ikoria Lair of Behemoths,"Yorion, Sky Nomad"
Ikoria Lair of Behemoths,"Zirda, the Dawnwaker"
Ikoria Lair of Behemoths,Crystalline Giant
Ikoria Lair of Behemoths,The Ozolith
Ikoria Lair of Behemoths,Bonders' Enclave
Ikoria Lair of Behemoths,Flourishing Fox
Ikoria Lair of Behemoths,Heartless Act
Ikoria Lair of Behemoths,Forbidden Friendship
Ikoria Lair of Behemoths,Migration Path
Ikoria Lair of Behemoths,Sprite Dragon
Ikoria Lair of Behemoths,Void Beckoner
Ikoria Lair of Behemoths,Mysterious Egg
